"date","c		","a","y","cay","cay^MS"
"1989:03",10.0320142254,11.7853196465,9.8140227175,0.023336711,0.001466433
"1989:04",10.0397067174,11.7907691059,9.8213074755,0.024657082,0.003254771
"1990:01",10.0416121152,11.7768945658,9.8291544513,0.02215829,0.003945011
"1990:02",10.0489284653,11.7780364338,9.834429151,0.025210062,0.007716917
"1990:03",10.0520499167,11.7515286014,9.8308331349,0.034444162,0.019958851
"1990:04",10.0442888794,11.755448261,9.8225235458,0.032689007,0.016291593
"1991:01",10.0405253851,11.771527079,9.8261665894,0.024075323,0.006096059
"1991:02",10.0458036001,11.7667004854,9.8323621464,0.025112816,0.008818131
"1991:03",10.0460701971,11.7672373218,9.8342782915,0.023815014,0.007765338
"1991:04",10.0459243941,11.7811045718,9.842577039,0.015455967,-0.001102142
"1992:01",10.0574670103,11.7726778049,9.8642485395,0.011111469,-0.000704047
"1992:02",10.060377625,11.7676324618,9.8710497677,0.009335263,-0.000665408
"1992:03",10.0653620551,11.7705706288,9.871841348,0.013335023,0.003066182
"1992:04",10.0725849854,11.7842787743,9.8720397293,0.018695196,0.006595189
"1993:01",10.0729804788,11.7879330091,9.8725956572,0.018200984,0.005696323
"1993:02",10.0748872324,11.7891328177,9.871890988,0.020508988,0.007724222
"1993:03",10.0824787118,11.7976045002,9.8727469153,0.026376161,0.012581434
"1993:04",10.0857077264,11.8054997284,9.8752937456,0.026631194,0.012185523
"1994:01",10.0918619704,11.8022231494,9.8766908061,0.032101781,0.018333535
"1994:02",10.0967632433,11.8023655555,9.8839086077,0.031344396,0.018754679
"1994:03",10.1004136409,11.8067487912,9.8840809775,0.034314032,0.021156873
"1994:04",10.1034186331,11.8069691572,9.8928248204,0.030458011,0.018722046
"1995:01",10.1074017385,11.8181192769,9.8991353571,0.028120207,0.015915325
"1995:02",10.1132331941,11.8314929471,9.8975193988,0.033548531,0.019256852
"1995:03",10.1157624092,11.8491865519,9.9013005325,0.030918471,0.014848274
"1995:04",10.1184375992,11.8634005301,9.9000129662,0.032829199,0.014612438
"1996:01",10.1251018119,11.8752181504,9.9063577777,0.03306256,0.014291801
"1996:02",10.1291044406,11.8820968976,9.9114215451,0.032250779,0.013385022
"1996:03",10.1310996756,11.8872763928,9.9151975774,0.030649693,0.011706291
"1996:04",10.1340319291,11.8866390255,9.9154293707,0.033480194,0.014661934
"1997:01",10.1398711224,11.8941518308,9.9229199729,0.032529348,0.013932635
"1997:02",10.1434677888,11.9358462629,9.9287446965,0.026379671,0.003079871
"1997:03",10.1521347617,11.9634764394,9.9366486847,0.025427374,-0.000317913
"1997:04",10.1586525683,11.9711968288,9.9481547937,0.021991049,-0.002894488
"1998:01",10.1661095998,12.0180710892,9.9642928113,0.010996318,-0.017585047
"1998:02",10.1759005816,12.0304764816,9.9740181182,0.011641272,-0.017012954
"1998:03",10.1845125903,11.9998036856,9.981554485,0.018184514,-0.005047881
"1998:04",10.1886723911,12.0578908438,9.9898197749,0.008648446,-0.021111188
"1999:01",10.1965616009,12.0688770943,10.0024538577,0.005295129,-0.023861613
"1999:02",10.2044810153,12.0933794697,10.0026321318,0.010022791,-0.022436362
"1999:03",10.2115197782,12.0827740826,10.0075029351,0.014576068,-0.015632544
"1999:04",10.2232860641,12.1474171694,10.0193835435,0.009004294,-0.028022952
"2000:01",10.2293723497,12.1650620459,10.0376659005,-0.001395743,-0.037788204
"2000:02",10.2401633245,12.1501501729,10.0414846048,0.008268479,-0.025462469
"2000:03",10.2461656902,12.1574792874,10.0514603534,0.005561476,-0.027510315
"2000:04",10.252634409,12.1285059848,10.0507221632,0.016216512,-0.013038082
"2001:01",10.2527266731,12.0985544881,10.0601219023,0.012693873,-0.010927768
"2001:02",10.2534807966,12.1199251444,10.0569095069,0.013296288,-0.01370419
"2001:03",10.2531666726,12.0853825373,10.0749944976,0.003151436,0.012386228
"2001:04",10.2545424509,12.1156960051,10.0666556574,0.007267901,0.01999013
"2002:01",10.2578383118,12.1263140205,10.0886114122,-0.007918042,0.007248313
"2002:02",10.2604492718,12.092891804,10.0938371718,-0.00522753,0.015355108
"2002:03",10.2620347807,12.0590581199,10.0911650451,0.002661212,0.027401211
"2002:04",10.2654260559,12.0802970131,10.0926261678,0.002264706,0.024359048
"2003:01",10.2688929638,12.0771963667,10.0933320353,0.005566227,0.028199327
"2003:02",10.2718756227,12.1160734289,10.1065178076,-0.006599348,0.012935483
"2003:03",10.2788691585,12.1308419912,10.1202233158,-0.012156876,0.007644291
"2003:04",10.2831992575,12.1693489451,10.1214739802,-0.013601279,0.00117112
"2004:01",10.2898518015,12.202415661,10.1254143962,-0.014147626,-0.003217808
"2004:02",10.2940600681,12.2170496989,10.1342000889,-0.018628689,-0.00823076
"2004:03",10.2994562218,12.2271751009,10.1404156428,-0.019351557,-0.009298964
"2004:04",10.3062557572,12.2653261209,10.139656776,-0.016711676,-0.01197296
"2005:01",10.3115001548,12.2804080005,10.1384228295,-0.012381766,-0.009898736
"2005:02",10.3165915931,12.295571528,10.1410746073,-0.01125179,-0.010390659
"2005:03",10.3213474346,12.3117859147,10.1419973919,-0.009237067,-0.010427686
"2005:04",10.3261413577,12.3295565441,10.1417045709,-0.006428103,-0.010083843
"2006:01",10.3310124503,12.3532926612,10.1583133698,-0.017494227,-0.021621241
"2006:02",10.3355167341,12.3412605448,10.1543386179,-0.00838464,-0.011535142
"2006:03",10.3376509725,12.3407675935,10.1544522834,-0.006277824,-0.009342428
